date,tco
1996/08/08 00:00:00,8.5308
1996/08/09 00:00:00,8.5334
1996/08/12 00:00:00,8.5414
1996/08/13 00:00:00,8.544
1996/08/14 00:00:00,8.5467
1996/08/15 00:00:00,8.5494
1996/08/16 00:00:00,8.552
1996/08/19 00:00:00,8.56
1996/08/20 00:00:00,8.5626
1996/08/21 00:00:00,8.5653
1996/08/22 00:00:00,8.568
1996/08/23 00:00:00,8.5706
1996/08/26 00:00:00,8.5786
1996/08/27 00:00:00,8.5813
1996/08/28 00:00:00,8.5839
1996/08/29 00:00:00,8.5866
1996/08/30 00:00:00,8.5893
1996/08/31 00:00:00,8.5919
1996/09/02 00:00:00,8.5973
1996/09/03 00:00:00,8.5999
1996/09/04 00:00:00,8.6026
1996/09/05 00:00:00,8.6053
1996/09/06 00:00:00,8.608
1996/09/09 00:00:00,8.616
1996/09/10 00:00:00,8.6187
1996/09/11 00:00:00,8.6213
1996/09/12 00:00:00,8.624
1996/09/13 00:00:00,8.6267
1996/09/17 00:00:00,8.6374
1996/09/18 00:00:00,8.6401
1996/09/19 00:00:00,8.6428
1996/09/20 00:00:00,8.6455
1996/09/23 00:00:00,8.6535
1996/09/24 00:00:00,8.6562
1996/09/25 00:00:00,8.6589
1996/09/26 00:00:00,8.6616
1996/09/27 00:00:00,8.6643
1996/09/30 00:00:00,8.6723
1996/10/01 00:00:00,8.675
1996/10/02 00:00:00,8.6777
1996/10/03 00:00:00,8.6804
1996/10/04 00:00:00,8.6831
1996/10/07 00:00:00,8.6912
1996/10/08 00:00:00,8.6939
1996/10/09 00:00:00,8.6966
1996/10/10 00:00:00,8.6993
1996/10/11 00:00:00,8.702
1996/10/14 00:00:00,8.7101
1996/10/15 00:00:00,8.7128
1996/10/16 00:00:00,8.7155
1996/10/17 00:00:00,8.7182
1996/10/18 00:00:00,8.7209
1996/10/22 00:00:00,8.7318
1996/10/23 00:00:00,8.7345
1996/10/24 00:00:00,8.7372
1996/10/25 00:00:00,8.7399
1996/10/28 00:00:00,8.7481
1996/10/29 00:00:00,8.7508
1996/10/30 00:00:00,8.7535
1996/10/31 00:00:00,8.7562
1996/11/01 00:00:00,8.7589
1996/11/04 00:00:00,8.7671
1996/11/05 00:00:00,8.7698
1996/11/06 00:00:00,8.7725
1996/11/07 00:00:00,8.7753
1996/11/08 00:00:00,8.778
1996/11/11 00:00:00,8.7862
1996/11/12 00:00:00,8.7889
1996/11/13 00:00:00,8.7916
1996/11/14 00:00:00,8.7944
1996/11/15 00:00:00,8.7971
1996/11/18 00:00:00,8.8053
1996/11/19 00:00:00,8.808
1996/11/20 00:00:00,8.8108
1996/11/21 00:00:00,8.8135
1996/11/22 00:00:00,8.8162
1996/11/25 00:00:00,8.8244
1996/11/26 00:00:00,8.8272
1996/11/27 00:00:00,8.8299
1996/11/28 00:00:00,8.8327
1996/11/29 00:00:00,8.8354
1996/11/30 00:00:00,8.8382
1996/12/02 00:00:00,8.8436
1996/12/03 00:00:00,8.8464
1996/12/04 00:00:00,8.8491
1996/12/05 00:00:00,8.8519
1996/12/06 00:00:00,8.8546
1996/12/09 00:00:00,8.8629
1996/12/10 00:00:00,8.8656
1996/12/11 00:00:00,8.8684
1996/12/12 00:00:00,8.8711
1996/12/13 00:00:00,8.8739
1996/12/16 00:00:00,8.8822
1996/12/17 00:00:00,8.8849
1996/12/18 00:00:00,8.8877
1996/12/19 00:00:00,8.8904
1996/12/20 00:00:00,8.8932
1996/12/23 00:00:00,8.9015
1996/12/24 00:00:00,8.9043
1996/12/26 00:00:00,8.9098
1996/12/27 00:00:00,8.9126
1996/12/30 00:00:00,8.9209
1996/12/31 00:00:00,8.9236
1997/01/02 00:00:00,8.9292
1997/01/03 00:00:00,8.932
1997/01/06 00:00:00,8.9403
1997/01/07 00:00:00,8.9431
1997/01/08 00:00:00,8.9458
1997/01/09 00:00:00,8.9486
1997/01/13 00:00:00,8.9597
1997/01/14 00:00:00,8.9625
1997/01/15 00:00:00,8.9653
1997/01/16 00:00:00,8.9681
1997/01/17 00:00:00,8.9709
1997/01/20 00:00:00,8.9792
1997/01/21 00:00:00,8.982
1997/01/22 00:00:00,8.9848
1997/01/23 00:00:00,8.9876
1997/01/24 00:00:00,8.9904
1997/01/27 00:00:00,8.9988
1997/01/28 00:00:00,9.0016
1997/01/29 00:00:00,9.0043
1997/01/30 00:00:00,9.0071
1997/01/31 00:00:00,9.0099
1997/02/03 00:00:00,9.0183
1997/02/04 00:00:00,9.0211
1997/02/05 00:00:00,9.0239
1997/02/06 00:00:00,9.0267
1997/02/07 00:00:00,9.0295
1997/02/10 00:00:00,9.038
1997/02/11 00:00:00,9.0408
1997/02/12 00:00:00,9.0436
1997/02/13 00:00:00,9.0464
1997/02/14 00:00:00,9.0492
1997/02/17 00:00:00,9.0576
1997/02/18 00:00:00,9.0604
1997/02/19 00:00:00,9.0633
1997/02/20 00:00:00,9.0661
1997/02/21 00:00:00,9.0689
1997/02/24 00:00:00,9.0773
1997/02/25 00:00:00,9.0802
1997/02/26 00:00:00,9.083
1997/02/27 00:00:00,9.0858
1997/02/28 00:00:00,9.0886
1997/03/03 00:00:00,9.0971
1997/03/04 00:00:00,9.0999
1997/03/05 00:00:00,9.1027
1997/03/06 00:00:00,9.1056
1997/03/07 00:00:00,9.1084
1997/03/10 00:00:00,9.1169
1997/03/11 00:00:00,9.1197
1997/03/12 00:00:00,9.1225
1997/03/13 00:00:00,9.1254
1997/03/14 00:00:00,9.1282
1997/03/17 00:00:00,9.1367
1997/03/18 00:00:00,9.1395
1997/03/19 00:00:00,9.1424
1997/03/20 00:00:00,9.1452
1997/03/21 00:00:00,9.1481
1997/03/24 00:00:00,9.1566
1997/03/25 00:00:00,9.1594
1997/03/26 00:00:00,9.1623
1997/03/31 00:00:00,9.1765
1997/04/01 00:00:00,9.1794
1997/04/02 00:00:00,9.1822
1997/04/03 00:00:00,9.1851
1997/04/04 00:00:00,9.1879
1997/04/07 00:00:00,9.1965
1997/04/08 00:00:00,9.1993
1997/04/09 00:00:00,9.2022
1997/04/10 00:00:00,9.2051
1997/04/11 00:00:00,9.2079
1997/04/14 00:00:00,9.2165
1997/04/15 00:00:00,9.2194
1997/04/16 00:00:00,9.2222
1997/04/17 00:00:00,9.2251
1997/04/18 00:00:00,9.2279
1997/04/21 00:00:00,9.2365
1997/04/22 00:00:00,9.2394
1997/04/23 00:00:00,9.2423
1997/04/24 00:00:00,9.2452
1997/04/25 00:00:00,9.248
1997/04/28 00:00:00,9.2566
1997/04/29 00:00:00,9.2595
1997/04/30 00:00:00,9.2624
1997/05/02 00:00:00,9.2681
1997/05/05 00:00:00,9.2768
1997/05/06 00:00:00,9.2797
1997/05/07 00:00:00,9.2825
1997/05/08 00:00:00,9.2854
1997/05/09 00:00:00,9.2883
1997/05/12 00:00:00,9.297
1997/05/13 00:00:00,9.2999
1997/05/14 00:00:00,9.3027
1997/05/15 00:00:00,9.3056
1997/05/16 00:00:00,9.3085
1997/05/19 00:00:00,9.3172
1997/05/20 00:00:00,9.3201
1997/05/21 00:00:00,9.323
1997/05/22 00:00:00,9.3259
1997/05/23 00:00:00,9.3288
1997/05/26 00:00:00,9.3375
1997/05/27 00:00:00,9.3404
1997/05/28 00:00:00,9.3433
1997/05/29 00:00:00,9.3462
1997/05/30 00:00:00,9.3491
1997/05/31 00:00:00,9.352
1997/06/02 00:00:00,9.3578
1997/06/03 00:00:00,9.3607
1997/06/04 00:00:00,9.3636
1997/06/05 00:00:00,9.3665
1997/06/06 00:00:00,9.3694
1997/06/09 00:00:00,9.3781
1997/06/10 00:00:00,9.3811
1997/06/11 00:00:00,9.384
1997/06/12 00:00:00,9.3869
1997/06/13 00:00:00,9.3898
1997/06/16 00:00:00,9.3985
1997/06/17 00:00:00,9.4015
1997/06/18 00:00:00,9.4044
1997/06/19 00:00:00,9.4073
1997/06/20 00:00:00,9.4102
1997/06/23 00:00:00,9.419
1997/06/24 00:00:00,9.4219
1997/06/25 00:00:00,9.4248
1997/06/26 00:00:00,9.4278
1997/06/27 00:00:00,9.4307
1997/06/30 00:00:00,9.4395
1997/07/01 00:00:00,9.4424
1997/07/02 00:00:00,9.4454
1997/07/03 00:00:00,9.4483
1997/07/04 00:00:00,9.4512
1997/07/07 00:00:00,9.46
1997/07/08 00:00:00,9.463
1997/07/09 00:00:00,9.4659
1997/07/10 00:00:00,9.4688
1997/07/11 00:00:00,9.4718
1997/07/14 00:00:00,9.4806
1997/07/15 00:00:00,9.4836
1997/07/16 00:00:00,9.4865
1997/07/17 00:00:00,9.4894
1997/07/18 00:00:00,9.4924
1997/07/21 00:00:00,9.5012
1997/07/22 00:00:00,9.5042
1997/07/23 00:00:00,9.5071
1997/07/24 00:00:00,9.5101
1997/07/25 00:00:00,9.513
1997/07/28 00:00:00,9.5219
1997/07/29 00:00:00,9.5249
1997/07/30 00:00:00,9.5278
1997/07/31 00:00:00,9.5308
1997/08/04 00:00:00,9.5426
1997/08/05 00:00:00,9.5456
1997/08/06 00:00:00,9.5486
1997/08/07 00:00:00,9.5515
1997/08/08 00:00:00,9.5545
1997/08/11 00:00:00,9.5634
1997/08/12 00:00:00,9.5664
1997/08/13 00:00:00,9.5693
1997/08/14 00:00:00,9.5723
1997/08/15 00:00:00,9.5753
1997/08/17 00:00:00,9.5812
1997/08/18 00:00:00,9.5842
1997/08/19 00:00:00,9.5872
1997/08/20 00:00:00,9.5902
1997/08/21 00:00:00,9.5931
1997/08/22 00:00:00,9.5961
1997/08/25 00:00:00,9.6051
1997/08/26 00:00:00,9.608
1997/08/27 00:00:00,9.611
1997/08/28 00:00:00,9.614
1997/08/29 00:00:00,9.617
1997/08/30 00:00:00,9.62
1997/08/31 00:00:00,9.623
1997/09/01 00:00:00,9.626
1997/09/02 00:00:00,9.6289
1997/09/03 00:00:00,9.6319
1997/09/04 00:00:00,9.6349
1997/09/05 00:00:00,9.6379
1997/09/08 00:00:00,9.6469
1997/09/09 00:00:00,9.6499
1997/09/10 00:00:00,9.6529
1997/09/11 00:00:00,9.6559
1997/09/12 00:00:00,9.6589
1997/09/17 00:00:00,9.6739
1997/09/18 00:00:00,9.6769
1997/09/19 00:00:00,9.6799
1997/09/22 00:00:00,9.6889
1997/09/23 00:00:00,9.6919
1997/09/24 00:00:00,9.6949
1997/09/25 00:00:00,9.698
