date,code,conc,type,stock_cord,stock_usd,flow_cord,flow_usd
2020-06-01,emgas,Certificado de emisión de gases,ejecutado,9256000,270528,3052000,89201.6
2005-03-01,fomav,FOMAV,ejecutado,0,0,0,0
2005-06-01,fomav,FOMAV,ejecutado,0,0,0,0
2005-09-01,fomav,FOMAV,ejecutado,0,0,0,0
2005-12-01,fomav,FOMAV,ejecutado,0,0,0,0
2006-03-01,fomav,FOMAV,ejecutado,33453879.25,1939329,33453879.25,1939329
2006-06-01,fomav,FOMAV,ejecutado,83312273.71,4771555,49858394.45999999,2855546
2006-09-01,fomav,FOMAV,ejecutado,130495477.88,7383030,47183204.17,2669480
2006-12-01,fomav,FOMAV,ejecutado,178646904.81,9983745,48151426.93000001,2690959
2007-03-01,fomav,FOMAV,ejecutado,70051624.2,3867531,70051624.2,3867531
2007-06-01,fomav,FOMAV,ejecutado,142575868.05,7776922,72524243.85000001,3955896
2007-09-01,fomav,FOMAV,ejecutado,213732963.07,11516522,71157095.01999998,3834141
2007-12-01,fomav,FOMAV,ejecutado,282319382.7,15026216,68586419.63,3650456
2008-03-01,fomav,FOMAV,ejecutado,114112365.12,5999805,114112365.12,5999805
2008-06-01,fomav,FOMAV,ejecutado,228902263.21,11890118,114789898.09,5962656
2008-09-01,fomav,FOMAV,ejecutado,335246634.05,17202962,106344370.84,5456992
2008-12-01,fomav,FOMAV,ejecutado,439632858.86,22284482,104386224.81,5291217
2009-03-01,fomav,FOMAV,ejecutado,154202485.45,7721973,154202485.45,7721973
2009-06-01,fomav,FOMAV,ejecutado,315260580.79,15597424,161058095.34000003,7968302
2009-09-01,fomav,FOMAV,ejecutado,462991585.43,22627903,147731004.64,7220094
2009-12-01,fomav,FOMAV,ejecutado,614170124.57,29649609,151178539.14000005,7298278
2010-03-01,fomav,FOMAV,ejecutado,171591045.84,8183560,171591045.84,8183560
2010-06-01,fomav,FOMAV,ejecutado,354438148.79,16700683,182847102.95000002,8615527
2010-09-01,fomav,FOMAV,ejecutado,523761692.11,24378990,169323543.32,7881327
2010-12-01,fomav,FOMAV,ejecutado,697687670.66,32077625,173925978.54999995,7996604
2011-03-01,fomav,FOMAV,ejecutado,195017825.13,8857939,195017825.13,8857939
2011-06-01,fomav,FOMAV,ejecutado,396863943.56,17809273,201846118.43,9057846
2011-09-01,fomav,FOMAV,ejecutado,587131949.84,26027256,190268006.28000003,8434482
2011-12-01,fomav,FOMAV,ejecutado,772270363.75,33815911,185138413.90999997,8106778
2012-03-01,fomav,FOMAV,ejecutado,204466218.1,8844410,204466218.1,8844410
